,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,2,OLS,0.05101271492481495,0.12092904138918459
1,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,3,OLS,0.08712160109010356,-0.04781892403644637
2,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,1,OLS,0.0743908960787761,0.037771167204773935
3,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,4,OLS,0.05353120404633588,0.04180448623230287
4,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,0,OLS,0.05826096645853754,0.0900997506086714
5,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,2,PolynomialOLS2,0.11894064715676618,0.14341507796790448
6,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,3,PolynomialOLS2,0.16707253542472825,0.12593952922840446
7,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,1,PolynomialOLS2,0.171216668938835,0.03144180088660255
8,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,4,PolynomialOLS2,0.17350704933535457,0.11935526900520373
9,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,0,PolynomialOLS2,0.11235014674968136,0.11165740773944532
10,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,2,PolynomialOLS3,0.2143471148971966,0.19098455809905546
11,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,3,PolynomialOLS3,0.20581669783552548,0.18386670477571354
12,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,1,PolynomialOLS3,0.23762665030108993,0.14503807569225358
13,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,4,PolynomialOLS3,0.23605082349650122,0.12495093621010579
14,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,0,PolynomialOLS3,0.22830308605453561,0.23504634481064893
15,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,2,SVR,0.11697441240387033,0.19581409062983238
16,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,3,SVR,0.13846980013422708,0.03165716081446166
17,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,1,SVR,0.12325325702650278,-0.019285373335142336
18,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,4,SVR,0.15022204526434632,0.1204179800089795
19,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_random_5,0,SVR,0.09489691123302336,0.10470991931382263
20,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,3,OLS,0.11836179917208002,-0.20920944019611404
21,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,4,OLS,0.05651810052551617,0.012374734744790838
22,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,2,OLS,0.11420976083969481,-0.17418000190643648
23,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,0,OLS,0.1320751172497299,-0.3629096184621828
24,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,1,OLS,0.06041071340936028,-0.06042186634366448
25,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.21476208165310035,0.0832654953667203
26,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.1364826677242222,-0.13570312174874968
27,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.18563890125949958,-0.19350745298726651
28,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.22179942581923515,-0.23744605902366034
29,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.16752628966150576,0.049037238631808054
30,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.23408425801167454,0.0006662721025353951
31,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.15758630892313621,0.037892862218448224
32,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.23646739288107138,-0.06568384466491557
33,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,0,PolynomialOLS3,0.2436533768380777,-0.19661152027553966
34,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.218411647583633,0.08701789746877765
35,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,3,SVR,0.15972591204927591,0.047243000937980076
36,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,4,SVR,0.14608742203524872,-0.14665948042192897
37,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,2,SVR,0.10634507945426175,-0.20612952920105768
38,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,0,SVR,0.19495742227822113,-0.2929560331633289
39,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_modulo_5,1,SVR,0.1441127968693481,0.05431510511932262
40,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,0,OLS,0.11229144219549116,-0.18378626559216285
41,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,1,OLS,0.07967788020658484,-0.08960833467953805
42,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,2,OLS,0.07941554559134062,-0.04596573442279762
43,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,3,OLS,0.05108631227038719,0.06890022726609078
44,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,4,OLS,0.05615900512851794,0.02711884807952658
45,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,0,PolynomialOLS2,0.16025774621667876,-0.1271478714741249
46,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,1,PolynomialOLS2,0.18754300916287966,-0.0038943189561671254
47,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,2,PolynomialOLS2,0.15320733951026128,0.020347940975330506
48,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,3,PolynomialOLS2,0.15871537097695443,0.014381292817152287
49,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,4,PolynomialOLS2,0.18274462167211844,-0.3489584627390843
50,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,0,PolynomialOLS3,0.17866865392580647,-0.08726181363997101
51,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,1,PolynomialOLS3,0.19107608135880058,0.04683097413772026
52,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,2,PolynomialOLS3,0.20316022946482154,0.05197310983518255
53,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,3,PolynomialOLS3,0.2550211226068533,0.12900751452373474
54,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,4,PolynomialOLS3,0.25668738176463063,-0.2101382214648946
55,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,0,SVR,0.1262138354308613,-0.1327582826837877
56,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,1,SVR,0.12794862117905115,-0.059268555613103624
57,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,2,SVR,0.1057044384282852,0.016000259267932235
58,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,3,SVR,0.16105564075101814,0.008448586655613174
59,A0A247D711_LISMN_Stadelmann_2021,DMS_score,fold_contiguous_5,4,SVR,0.14540249594807192,-0.34869102409703834
