,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,A2RQE2_9CELL,activity-protein,fold_random_5,2,OLS,0.09098919761147209,0.12134434342794813
1,A2RQE2_9CELL,activity-protein,fold_random_5,3,OLS,0.07381993238725,0.14498481092257
2,A2RQE2_9CELL,activity-protein,fold_random_5,0,OLS,0.07732704351357714,0.0201740184296938
3,A2RQE2_9CELL,activity-protein,fold_random_5,4,OLS,0.08895597026819076,0.006328492341861338
4,A2RQE2_9CELL,activity-protein,fold_random_5,1,OLS,0.09788390787262174,0.11062473448823783
5,A2RQE2_9CELL,activity-protein,fold_random_5,2,PolynomialOLS2,0.16488790148391042,0.10231349132818969
6,A2RQE2_9CELL,activity-protein,fold_random_5,3,PolynomialOLS2,0.1677468516796222,0.13607663985931315
7,A2RQE2_9CELL,activity-protein,fold_random_5,0,PolynomialOLS2,0.146929066204226,0.1474240505032187
8,A2RQE2_9CELL,activity-protein,fold_random_5,4,PolynomialOLS2,0.15202118651755958,0.06071407927485302
9,A2RQE2_9CELL,activity-protein,fold_random_5,1,PolynomialOLS2,0.15029984562857604,0.1808639024368457
10,A2RQE2_9CELL,activity-protein,fold_random_5,2,PolynomialOLS3,0.18820404247745337,0.15050025201304817
11,A2RQE2_9CELL,activity-protein,fold_random_5,3,PolynomialOLS3,0.1777168794425868,0.1851523968801548
12,A2RQE2_9CELL,activity-protein,fold_random_5,0,PolynomialOLS3,0.1491645927382594,0.13978858526174157
13,A2RQE2_9CELL,activity-protein,fold_random_5,4,PolynomialOLS3,0.17820692011656505,0.10586786225282238
14,A2RQE2_9CELL,activity-protein,fold_random_5,1,PolynomialOLS3,0.18797179773561182,0.16797193080268838
15,A2RQE2_9CELL,activity-protein,fold_random_5,2,SVR,0.18063975160131965,0.14388415509609817
16,A2RQE2_9CELL,activity-protein,fold_random_5,3,SVR,0.17757529461428345,0.1614393347240183
17,A2RQE2_9CELL,activity-protein,fold_random_5,0,SVR,0.16272113947505248,0.14535891998253453
18,A2RQE2_9CELL,activity-protein,fold_random_5,4,SVR,0.17585563278920008,0.10399290241318164
19,A2RQE2_9CELL,activity-protein,fold_random_5,1,SVR,0.18123097683693365,0.1922455864384243
20,A2RQE2_9CELL,activity-las,fold_random_5,2,OLS,0.08123131459360433,0.03752055656083703
