,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,8,OLS,0.03966907043979704,-0.08974141287146876
1,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,14,OLS,0.05084635589189204,-0.19444680957696925
2,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,2,OLS,0.0658677244105806,-0.31540302649007657
3,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,13,OLS,0.046682811767280584,-0.05238081586569531
4,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,6,OLS,0.02356977332717976,-0.050399009410382424
5,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,1,OLS,0.03398861389756236,-0.29365540589936906
6,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,5,OLS,0.04763970073941907,-0.10728290972320081
7,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,7,OLS,0.03151493912093048,0.05053015011950894
8,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,15,OLS,0.04565133869769323,-0.002045561918048279
9,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,9,OLS,0.008458197331716611,-0.2718369978805526
10,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,16,OLS,0.03108368177597633,-0.07121300982589897
11,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,4,OLS,0.032037248753235464,-0.014275575122292475
12,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,3,OLS,0.03338893201773397,-0.0942384032425878
13,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,11,OLS,0.03516220418400627,-0.04311205152937886
14,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,10,OLS,0.032561504479414756,0.08528508913446231
15,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,12,OLS,0.05265517653125026,-0.14399270314020207
16,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,8,PolynomialOLS2,0.040060924193557286,-0.21149915967840147
17,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,14,PolynomialOLS2,0.039748875546038766,-0.1898143679229991
18,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,2,PolynomialOLS2,0.06812039952304877,-0.29583791044165664
19,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,13,PolynomialOLS2,0.04666453231827476,-0.18411963884439467
20,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,6,PolynomialOLS2,0.032730157885524414,-0.12548520622178966
21,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,1,PolynomialOLS2,0.07187509557933892,-0.0736912153277284
22,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,5,PolynomialOLS2,0.04115893706094762,-0.0850216809952277
23,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,7,PolynomialOLS2,0.02456870508035143,-0.17217269465629015
24,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,15,PolynomialOLS2,0.03715842076296119,-0.04080569339713507
25,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,9,PolynomialOLS2,0.012187099013061298,-0.07635219752897297
26,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,16,PolynomialOLS2,0.02689863531350627,-0.12695696778298593
27,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,4,PolynomialOLS2,0.0161543104282976,-0.013408470192959246
28,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,3,PolynomialOLS2,0.037984347978581134,-0.3558832070971324
29,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,11,PolynomialOLS2,0.022048172086560503,-0.09830819494851269
30,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,10,PolynomialOLS2,0.04718329991521011,0.02745947568938813
31,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,12,PolynomialOLS2,0.04632238913937468,-0.16055283552000135
32,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,8,PolynomialOLS3,0.04141991531346021,-0.18645284277285917
33,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,14,PolynomialOLS3,0.0597164711151016,-0.1803118383659661
34,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,2,PolynomialOLS3,0.08227640769269817,-0.2841747042472662
35,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,13,PolynomialOLS3,0.07098198394091489,-0.2198693047800671
36,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,6,PolynomialOLS3,0.04861394509315804,-0.14847540416885976
37,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,1,PolynomialOLS3,0.07473901472001375,-0.011430719828858822
38,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,5,PolynomialOLS3,0.04274956552226735,-0.05298365208415965
39,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,7,PolynomialOLS3,0.048803467086143935,-0.07927125528638566
40,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,15,PolynomialOLS3,0.05096555052574328,-0.03816706930137256
41,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,9,PolynomialOLS3,0.012916724687274268,-0.13174951716351752
42,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,16,PolynomialOLS3,0.04547102318139787,-0.14016747351179346
43,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,4,PolynomialOLS3,0.042288837293665886,0.029462298598900184
44,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,3,PolynomialOLS3,0.03972763104926298,-0.11936818143990795
45,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,11,PolynomialOLS3,0.04359265972462547,-0.06077523227882714
46,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,10,PolynomialOLS3,0.04369286668355782,-0.19438447427386518
47,AMY_BACSU/combinatorials,stain_activity,fold_bin_16,12,PolynomialOLS3,0.0680286642899526,-0.2941687939441252
