,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,AMY_BACSU/singles,expression,fold_random_5,0,OLS,0.004357954130537824,0.0008921972678061342
1,AMY_BACSU/singles,expression,fold_random_5,2,OLS,0.022971824634056177,0.008596872246749264
2,AMY_BACSU/singles,expression,fold_random_5,1,OLS,0.012075683727542029,-0.00043926973439805425
3,AMY_BACSU/singles,expression,fold_random_5,4,OLS,0.018938105743428517,0.009621588642513822
4,AMY_BACSU/singles,expression,fold_random_5,3,OLS,0.023390519217816604,0.005854352388242168
5,AMY_BACSU/singles,expression,fold_random_5,0,PolynomialOLS2,0.07963550526485878,0.10284339675448109
6,AMY_BACSU/singles,expression,fold_random_5,2,PolynomialOLS2,0.07982770261454972,0.08687868907262417
7,AMY_BACSU/singles,expression,fold_random_5,1,PolynomialOLS2,0.10419177986498282,0.04695319115922154
8,AMY_BACSU/singles,expression,fold_random_5,4,PolynomialOLS2,0.06975453242452105,0.1009879619923084
9,AMY_BACSU/singles,expression,fold_random_5,3,PolynomialOLS2,0.08077738032369143,0.07281977103316219
10,AMY_BACSU/singles,expression,fold_random_5,0,PolynomialOLS3,0.08442923463149651,0.09636534749495353
11,AMY_BACSU/singles,expression,fold_random_5,2,PolynomialOLS3,0.08868101402721518,0.06719557733192605
12,AMY_BACSU/singles,expression,fold_random_5,1,PolynomialOLS3,0.08961343919062202,0.030574410903832897
13,AMY_BACSU/singles,expression,fold_random_5,4,PolynomialOLS3,0.06865503279511534,0.09567511243907913
14,AMY_BACSU/singles,expression,fold_random_5,3,PolynomialOLS3,0.09114722203764215,0.07617035548150337
15,AMY_BACSU/singles,expression,fold_random_5,0,SVR,0.23723523396296162,0.2244774885036778
16,AMY_BACSU/singles,expression,fold_random_5,2,SVR,0.24841889227525998,0.2228650346870854
17,AMY_BACSU/singles,expression,fold_random_5,1,SVR,0.23638056832543625,0.2359877379104992
18,AMY_BACSU/singles,expression,fold_random_5,4,SVR,0.2382144347032671,0.2226724536715697
19,AMY_BACSU/singles,expression,fold_random_5,3,SVR,0.22459508855000065,0.22654489865721494
20,AMY_BACSU/singles,stability_detergent,fold_random_5,0,OLS,0.02678971882141892,0.03384618945604131
21,AMY_BACSU/singles,stability_detergent,fold_random_5,2,OLS,0.03125992391754726,0.014359303566556089
22,AMY_BACSU/singles,stability_detergent,fold_random_5,1,OLS,0.02875626580163173,0.02329030476460886
23,AMY_BACSU/singles,stability_detergent,fold_random_5,4,OLS,-0.0429724516706036,-0.034739704157324226
24,AMY_BACSU/singles,stability_detergent,fold_random_5,3,OLS,0.02648195472226432,0.035108403876107704
25,AMY_BACSU/singles,stability_detergent,fold_random_5,0,PolynomialOLS2,0.017736164112368776,-0.018489692680583873
26,AMY_BACSU/singles,stability_detergent,fold_random_5,2,PolynomialOLS2,0.010821320673368485,0.03237621874730961
27,AMY_BACSU/singles,stability_detergent,fold_random_5,1,PolynomialOLS2,0.012407920989096268,0.016633474871844696
28,AMY_BACSU/singles,stability_detergent,fold_random_5,4,PolynomialOLS2,-0.025210366604421372,-0.022624107433454686
29,AMY_BACSU/singles,stability_detergent,fold_random_5,3,PolynomialOLS2,0.0063886828024358345,0.03334145826749076
30,AMY_BACSU/singles,stability_detergent,fold_random_5,0,PolynomialOLS3,-0.0037799246138828955,-0.05369986351279361
31,AMY_BACSU/singles,stability_detergent,fold_random_5,2,PolynomialOLS3,-0.008914411290996882,0.026563728942602432
32,AMY_BACSU/singles,stability_detergent,fold_random_5,1,PolynomialOLS3,-0.015225139934008576,0.019823577613093345
33,AMY_BACSU/singles,stability_detergent,fold_random_5,4,PolynomialOLS3,-0.01286863082994356,-0.02720954871304742
34,AMY_BACSU/singles,stability_detergent,fold_random_5,3,PolynomialOLS3,0.0011968906208262992,-0.010411940410242519
35,AMY_BACSU/singles,stability_detergent,fold_random_5,0,SVR,0.18020217403048333,0.1755392327193244
36,AMY_BACSU/singles,stability_detergent,fold_random_5,2,SVR,0.17249105173274581,0.21857657487331805
37,AMY_BACSU/singles,stability_detergent,fold_random_5,1,SVR,0.2025995439635912,0.15243823332221162
38,AMY_BACSU/singles,stability_detergent,fold_random_5,4,SVR,0.19075586010229403,0.13397267187727468
39,AMY_BACSU/singles,stability_detergent,fold_random_5,3,SVR,0.18504450362232716,0.1768673870491195
40,AMY_BACSU/singles,stability_temperature,fold_random_5,0,OLS,0.008312853454219997,0.007304473507260944
41,AMY_BACSU/singles,stability_temperature,fold_random_5,2,OLS,0.003212787608944666,0.018128741279526194
42,AMY_BACSU/singles,stability_temperature,fold_random_5,1,OLS,0.020661363275075995,-0.05206632038966455
43,AMY_BACSU/singles,stability_temperature,fold_random_5,4,OLS,0.008909815724442865,0.007771826952370787
44,AMY_BACSU/singles,stability_temperature,fold_random_5,3,OLS,0.004599858756816852,0.019297177026095017
45,AMY_BACSU/singles,stability_temperature,fold_random_5,0,PolynomialOLS2,-0.033168294601909634,-0.025858434710810906
46,AMY_BACSU/singles,stability_temperature,fold_random_5,2,PolynomialOLS2,-0.029370956449204122,-0.04442007850571297
47,AMY_BACSU/singles,stability_temperature,fold_random_5,1,PolynomialOLS2,0.12313608827672634,0.08092256666155352
48,AMY_BACSU/singles,stability_temperature,fold_random_5,4,PolynomialOLS2,-0.030123744043981368,-0.04198116880334942
49,AMY_BACSU/singles,stability_temperature,fold_random_5,3,PolynomialOLS2,-0.03545908004638521,-0.015412382005336716
50,AMY_BACSU/singles,stability_temperature,fold_random_5,0,PolynomialOLS3,-0.039410870040652815,-0.028795101348602723
