,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,4,OLS,0.13489313767913164,0.31639691686966326
1,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,2,OLS,0.1569025384583886,0.1270194019895579
2,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,3,OLS,0.17678541099130748,0.018317680192622563
3,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,1,OLS,0.1668860097586787,0.14493107725281806
4,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,0,OLS,0.16526902188575138,0.16800130342768924
5,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,4,PolynomialOLS2,0.4068187192629898,0.4540319975664993
6,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,2,PolynomialOLS2,0.3781545616023202,0.3335160800228908
7,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,3,PolynomialOLS2,0.3821250510436985,0.3517598378544971
8,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,1,PolynomialOLS2,0.3777289724175332,0.32868517299352756
9,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,0,PolynomialOLS2,0.40125962578796087,0.4439810497213977
10,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,4,PolynomialOLS3,0.40712269276202284,0.446314897859351
11,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,2,PolynomialOLS3,0.41679279844239636,0.3835191692566745
12,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,3,PolynomialOLS3,0.4253391823146119,0.3539377323493793
13,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,1,PolynomialOLS3,0.41953615220135043,0.4001605415266769
14,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,0,PolynomialOLS3,0.4032325131998199,0.43410348543502414
15,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,4,SVR,0.2356767102727466,0.3507445540163293
16,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,2,SVR,0.30091252224203924,0.26302327953900306
17,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,3,SVR,0.31187026100517024,0.23052683244313088
18,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,1,SVR,0.26462409923762364,0.2574883643601084
19,CCDB_ECOLI_Adkar_2012,DMS_score,fold_random_5,0,SVR,0.2742905479272556,0.28356411223489303
20,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,2,OLS,0.1734136843905718,0.11070917869253419
21,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,3,OLS,0.11561302046457753,0.3463528063186505
22,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,4,OLS,0.264150121433905,-0.18051966532414485
23,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,0,OLS,0.13412352348150888,0.0332267472407468
24,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,1,OLS,0.19068029656767838,0.012381863470314365
25,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.4610578492275891,0.19784321663680793
26,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.37375616640595843,0.4785880690115017
27,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.39411468978349296,0.4008538637812587
28,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.36722308604694115,0.07369563644938643
29,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.4042791518749186,0.41710480866281346
30,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.4648259639817329,0.15595615180540756
31,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.3800389341977916,0.4738146138107228
32,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.40063160466727427,0.3860810887836732
33,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,0,PolynomialOLS3,0.3864474188438262,0.14084480031779997
34,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.4190097983711363,0.41287278884124345
35,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,2,SVR,0.29058525161804716,0.11886863718880877
36,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,3,SVR,0.23288005309500048,0.36198086672669566
37,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,4,SVR,0.27694552713991877,-0.2035531166692558
38,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,0,SVR,0.29426344631471846,0.40923193100148486
39,CCDB_ECOLI_Adkar_2012,DMS_score,fold_modulo_5,1,SVR,0.36581824034468013,0.22278190196729325
40,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,0,OLS,0.1531738021312255,0.153952389565075
41,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,1,OLS,0.11876737733362874,0.1972680244783655
42,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,2,OLS,0.20551904482467356,0.10466268220584916
43,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,3,OLS,0.1564845681941263,0.20829677653459688
44,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,4,OLS,0.1807409941719929,-0.042425804594134274
45,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,0,PolynomialOLS2,0.3880862032374706,0.2844939536034268
46,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,1,PolynomialOLS2,0.38220926326808624,0.31638093241170645
47,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,2,PolynomialOLS2,0.3562779802130476,0.4976669776708783
48,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,3,PolynomialOLS2,0.4444905063525319,0.2665862983603223
49,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,4,PolynomialOLS2,0.42859668357165703,0.2791608258214756
50,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,0,PolynomialOLS3,0.4144006391128068,0.24210789364474783
51,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,1,PolynomialOLS3,0.4389232865750378,0.29711244428837336
52,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,2,PolynomialOLS3,0.3826774167425354,0.4750010089562139
53,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,3,PolynomialOLS3,0.46280730360996536,0.2780198657287589
54,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,4,PolynomialOLS3,0.4272472567774805,0.2650954343106637
55,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,0,SVR,0.2921278098579953,0.23353885494972992
56,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,1,SVR,0.28826755546157057,0.37329049511192797
57,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,2,SVR,0.23886031968586527,-0.013447203649805029
58,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,3,SVR,0.2894165123179172,0.2783265179152396
59,CCDB_ECOLI_Adkar_2012,DMS_score,fold_contiguous_5,4,SVR,0.3736965473290647,-0.017939390043716273
