,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,2,OLS,0.11495627724372012,0.08580873569768742
1,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,0,OLS,0.12727650615173214,0.040091191140606657
2,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,1,OLS,0.0973974838526176,0.1660095157363586
3,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,3,OLS,0.11658751120073407,0.056292690678342014
4,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,4,OLS,0.09019240345051567,0.1833084675334024
5,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,2,PolynomialOLS2,0.1845927476694628,0.16135739162178592
6,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,0,PolynomialOLS2,0.19434833774280522,0.16974041261884085
7,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,1,PolynomialOLS2,0.1852207143817604,0.17925306779201955
8,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,3,PolynomialOLS2,0.218596070383585,0.10193387513200212
9,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,4,PolynomialOLS2,0.18966694653538804,0.2376372609561066
10,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,2,PolynomialOLS3,0.19837382295567935,0.18364932511606613
11,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,0,PolynomialOLS3,0.20425061425862734,0.18145889897794582
12,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,1,PolynomialOLS3,0.19259234923239799,0.20795205231862246
13,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,3,PolynomialOLS3,0.22381641939986294,0.10368341375072491
14,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,4,PolynomialOLS3,0.20098800002199804,0.2585658424935139
15,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,2,SVR,0.13872465053576177,0.13060131951247717
16,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,0,SVR,0.0757628043757423,0.22711859610777718
17,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,1,SVR,0.14094125221183346,0.018022514562212252
18,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,3,SVR,0.15992745197472327,0.08600311697777833
19,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_random_5,4,SVR,0.07893592898460428,0.08798243180120452
20,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,2,OLS,0.10307266597953568,0.1036119430435747
21,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,3,OLS,0.10209274123540625,0.12831423241779452
22,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,4,OLS,0.15342260673967595,-0.048162231341006286
23,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,0,OLS,0.08060733927739452,0.13680517868033748
24,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,1,OLS,0.14359754129539795,0.013500555633664535
25,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.21341283433337854,0.14439599323532037
26,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.19599562256182934,0.1731653042214052
27,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.19275611406629656,0.02547341224239418
28,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.17672321181601686,0.14058982909197995
29,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.22043860839819013,0.12422140625207356
30,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.21100250543465154,0.14508961020237487
31,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.22731908929322747,0.18711198764372602
32,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.1973118849674609,0.08923532398872312
33,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,0,PolynomialOLS3,0.17415313234564928,0.1382618976937097
34,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.2239835049467842,0.16920303656833446
35,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,2,SVR,0.15040632735396098,0.11189116222778696
36,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,3,SVR,0.10456098817769686,0.16135102560795797
37,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,4,SVR,0.1657847621365747,0.0816321241907832
38,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,0,SVR,0.1671268011298531,0.14830388451542634
39,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_modulo_5,1,SVR,0.12141157166181935,0.12298503562009447
40,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,0,OLS,0.10076175125386598,0.1248108184115393
41,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,1,OLS,0.08502328701634783,0.07985694203499513
42,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,2,OLS,0.11768101570070881,-0.07050805481780395
43,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,3,OLS,0.10449674809646782,0.12743380798365822
44,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,4,OLS,0.11197383864621271,0.050093176402399166
45,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,0,PolynomialOLS2,0.17872466177023336,0.034171105538676985
46,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,1,PolynomialOLS2,0.20588386076769633,0.05339796578330134
47,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,2,PolynomialOLS2,0.21503183431911582,0.0030749836865846297
48,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,3,PolynomialOLS2,0.22024326895592444,0.1455830671403293
49,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,4,PolynomialOLS2,0.20427735537927824,0.06463735637823759
50,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,0,PolynomialOLS3,0.18564132519028168,-0.0025352322250417297
51,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,1,PolynomialOLS3,0.2116243339634035,0.05189780723000094
52,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,2,PolynomialOLS3,0.21810053608058283,0.023400792447196447
53,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,3,PolynomialOLS3,0.23336267226030957,0.06249287831397378
54,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,4,PolynomialOLS3,0.20714023854062902,0.058545584193460655
55,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,0,SVR,0.17801160294609192,0.18973734059697384
56,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,1,SVR,0.18450176036543975,0.0437756004710082
57,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,2,SVR,0.19009884290592868,0.018497167838263395
58,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,3,SVR,0.11260404553610616,-0.05255795760143451
59,CCDB_ECOLI_Tripathi_2016,DMS_score,fold_contiguous_5,4,SVR,0.11818137880366439,0.11605406705674609
