,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,0,OLS,0.06309728266407512,0.07449678486192302
1,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,1,OLS,0.0856682861278423,0.06886604675846048
2,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,3,OLS,0.06888791539998984,0.0968634262721843
3,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,4,OLS,0.053231388791580576,0.021253939336885606
4,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,2,OLS,0.08447696284548323,0.07456365141858877
5,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,0,PolynomialOLS2,0.1554011721840332,0.1811472173693049
6,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,1,PolynomialOLS2,0.15776162807573077,0.16661718601635095
7,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,3,PolynomialOLS2,0.1661055250262488,0.14245019666584927
8,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,4,PolynomialOLS2,0.17099185674778594,0.17889490452353152
9,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,2,PolynomialOLS2,0.16688416099144499,0.13759634027058426
10,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,0,PolynomialOLS3,0.19195841177028702,0.2586231260925783
11,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,1,PolynomialOLS3,0.18663829964632,0.1837609217443103
12,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,3,PolynomialOLS3,0.20070123189281738,0.19324104118289845
13,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,4,PolynomialOLS3,0.19543625321444322,0.1777271659712685
14,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,2,PolynomialOLS3,0.2016614197134862,0.1588224866780061
15,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,0,SVR,0.15297326577929124,0.09961449119391957
16,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,1,SVR,0.1236349449150488,0.11297745633154227
17,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,3,SVR,0.15051027111436754,0.15571480669280358
18,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,4,SVR,0.13950808094978956,0.15598602305897907
19,DYR_ECOLI_Nguyen_2023,DMS_score,fold_random_5,2,SVR,0.14457546363320548,0.1444554564898618
20,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,2,OLS,0.05565132993928907,-0.10509040967010884
21,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,3,OLS,0.11524327263487628,-0.21928381019563498
22,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,0,OLS,0.09621485670466834,0.018508069606552033
23,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,4,OLS,0.07316004970741083,0.119525461172914
24,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,1,OLS,0.05897610112177292,-0.10688682800362424
25,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.12491680917989724,0.002556754158525788
26,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.19949299006199656,-0.07321679367120246
27,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.18180556980510454,0.11295342881671115
28,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.1492265138314161,0.1736850257372756
29,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.18269487062719597,0.09744797925357111
30,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.13790637356492663,0.06822818168905842
31,DYR_ECOLI_Nguyen_2023,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.2176786183749266,-0.056421389617124784
