,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,0,OLS,0.09291921374325651,0.04400007634974688
1,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,2,OLS,0.07403137980089415,0.02694988688079245
2,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,3,OLS,0.08293500638246641,0.0653302722890463
3,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,4,OLS,0.0859477685571216,0.12553771804766747
4,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,1,OLS,0.09596104849898596,0.08354765017744001
5,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,0,PolynomialOLS2,0.20627838536630175,0.12283625642109619
6,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,2,PolynomialOLS2,0.2328408148214598,0.21491273661131544
7,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,3,PolynomialOLS2,0.205690225628678,0.2834540091177259
8,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,4,PolynomialOLS2,0.21117645061364185,0.16686038116201715
9,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,1,PolynomialOLS2,0.235942937575964,0.22076386423019378
10,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,0,PolynomialOLS3,0.2368483789999374,0.16859602948325594
11,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,2,PolynomialOLS3,0.26316150362543905,0.22598389689118722
12,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,3,PolynomialOLS3,0.2226949601875745,0.2688356912531313
13,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,4,PolynomialOLS3,0.2525669703876713,0.21699948630277086
14,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,1,PolynomialOLS3,0.23235805802155468,0.20028735219321567
15,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,0,SVR,0.12392479430763755,0.07792069005089748
16,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,2,SVR,0.12046490740115588,0.1663286920973786
17,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,3,SVR,0.08082484916719739,0.08178874870003726
18,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,4,SVR,0.09498351294363165,0.04663333715897348
19,DYR_ECOLI_Thompson_2019,DMS_score,fold_random_5,1,SVR,0.1313390750803397,0.08489358732530529
