,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,2,OLS,0.0952079275107243,0.1220136987042581
1,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,0,OLS,0.128959963602214,-0.039879857407106784
2,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,4,OLS,0.09440056169691352,0.01524639053904258
3,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,1,OLS,0.06858299178583599,0.13567082246752163
4,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,3,OLS,0.10348688433356067,0.06916559717780887
5,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,2,PolynomialOLS2,0.1389072243946536,0.12589249895068327
6,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,0,PolynomialOLS2,0.15333461210088037,0.05253472189362896
7,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,4,PolynomialOLS2,0.15856349235994574,0.017312371519662854
8,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,1,PolynomialOLS2,0.14384390322658122,0.29585015301444406
9,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,3,PolynomialOLS2,0.1318110117525742,0.05594507760143981
10,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,2,PolynomialOLS3,0.1912576554972578,0.16117118433267708
11,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,0,PolynomialOLS3,0.2198260378853013,0.060392327005658435
12,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,4,PolynomialOLS3,0.22192260064622454,0.09131979120551019
13,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,1,PolynomialOLS3,0.18050007339644125,0.26439824241774723
14,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,3,PolynomialOLS3,0.20370290689698559,0.1069996838763062
15,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,2,SVR,0.10562161164115151,0.03682386706645054
16,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,0,SVR,0.13605770689280988,-0.04625096727744975
17,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,4,SVR,0.07428413777614892,-0.0047627382141276035
18,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,1,SVR,0.0776461560144484,0.13625192012288787
19,GRB2_HUMAN_Faure_2021,DMS_score,fold_random_5,3,SVR,0.10506476328774697,0.03511617860610862
20,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,4,OLS,0.0506979070198733,0.028522205863679578
21,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,0,OLS,0.13495247319994097,-0.10896353540929311
22,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,1,OLS,0.03558397374969424,-0.14184042502120303
23,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,2,OLS,0.1409621393424452,-0.12335004650173136
24,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,3,OLS,0.06762340200939286,0.1862248487406782
25,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.18905635945896632,0.03500567973176566
26,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.17505058658458245,0.08326027426913878
27,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.11347179084928352,-0.01759320008747926
28,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.1679834450429759,-0.02999104283993452
29,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.20108538122704445,0.12014021928542823
30,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.16211563681958444,0.09858847512071574
31,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,0,PolynomialOLS3,0.24446592078531443,0.07245294455087616
32,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.1573660582034734,0.2319894064745323
33,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.22413373050720165,0.0741069436865749
34,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.23421299062049383,0.04675238930198829
35,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,4,SVR,0.04921701358710317,-0.005678359020821108
36,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,0,SVR,0.1287772543485453,-0.08045832386271391
37,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,1,SVR,0.037325569108406814,-0.11262688493809775
38,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,2,SVR,0.13927784344000718,-0.1112589099719617
39,GRB2_HUMAN_Faure_2021,DMS_score,fold_modulo_5,3,SVR,0.079473203632585,-0.008761675920814798
40,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,0,OLS,0.08191465616342138,0.17634139316061512
41,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,1,OLS,0.011133864660608964,0.18023671136799038
42,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,2,OLS,0.17331712994716994,-0.25705276989594067
43,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,3,OLS,0.10730822411092283,-0.12695725327304275
44,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,4,OLS,0.09480017392102072,0.05004140013637692
45,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,0,PolynomialOLS2,0.15976687096642828,0.0656094477604775
46,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,1,PolynomialOLS2,0.0757971977703247,0.3127374419586323
47,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,2,PolynomialOLS2,0.23175504712546377,-0.21348956106853806
48,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,3,PolynomialOLS2,0.14316629232212583,-0.030268415794731586
49,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,4,PolynomialOLS2,0.16721650285935613,-0.05482000411295472
50,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,0,PolynomialOLS3,0.2003812341614895,0.12099875715436356
51,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,1,PolynomialOLS3,0.12632036745928704,0.3805105475641567
52,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,2,PolynomialOLS3,0.26133273722493416,-0.046693310304661305
53,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,3,PolynomialOLS3,0.24557133667714548,0.10942084231557915
54,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,4,PolynomialOLS3,0.21717649143491588,0.0736300072517886
55,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,0,SVR,0.07617546800544361,0.17632139028020036
56,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,1,SVR,0.017045155350364844,0.0272334426513405
57,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,2,SVR,0.17108910510132727,-0.2428382073211668
58,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,3,SVR,0.08018152326528172,-0.12354750512645249
59,GRB2_HUMAN_Faure_2021,DMS_score,fold_contiguous_5,4,SVR,0.07410954266214151,-0.008468086718403307
