,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,P84126_THETH_Chan_2017,DMS_score,fold_random_5,4,OLS,0.0578079849555456,-0.14105133780446616
1,P84126_THETH_Chan_2017,DMS_score,fold_random_5,3,OLS,0.07324883943539859,0.10755912117875309
2,P84126_THETH_Chan_2017,DMS_score,fold_random_5,2,OLS,0.05215638443459593,0.00249465953915015
3,P84126_THETH_Chan_2017,DMS_score,fold_random_5,0,OLS,0.026789024654469022,0.017928846542634533
4,P84126_THETH_Chan_2017,DMS_score,fold_random_5,1,OLS,0.09386872467296993,0.0893863721370267
5,P84126_THETH_Chan_2017,DMS_score,fold_random_5,4,PolynomialOLS2,0.17909253357367397,0.12875498179423142
6,P84126_THETH_Chan_2017,DMS_score,fold_random_5,3,PolynomialOLS2,0.17482960206517176,0.12397951514515933
7,P84126_THETH_Chan_2017,DMS_score,fold_random_5,2,PolynomialOLS2,0.19724418599180113,0.11014075004572606
8,P84126_THETH_Chan_2017,DMS_score,fold_random_5,0,PolynomialOLS2,0.15172664557836385,0.19422623336633713
9,P84126_THETH_Chan_2017,DMS_score,fold_random_5,1,PolynomialOLS2,0.1922705213960124,0.16647114474929048
10,P84126_THETH_Chan_2017,DMS_score,fold_random_5,4,PolynomialOLS3,0.23382597258337734,0.112616146701928
11,P84126_THETH_Chan_2017,DMS_score,fold_random_5,3,PolynomialOLS3,0.2524350333117022,0.2531473616136193
12,P84126_THETH_Chan_2017,DMS_score,fold_random_5,2,PolynomialOLS3,0.25294220484274815,0.15401578498735197
13,P84126_THETH_Chan_2017,DMS_score,fold_random_5,0,PolynomialOLS3,0.18567329672636926,0.228667699979783
14,P84126_THETH_Chan_2017,DMS_score,fold_random_5,1,PolynomialOLS3,0.21594013808526902,0.190683593320279
15,P84126_THETH_Chan_2017,DMS_score,fold_random_5,4,SVR,0.13071326506163677,-0.04965278115548886
16,P84126_THETH_Chan_2017,DMS_score,fold_random_5,3,SVR,0.16528933039463287,0.13551815146907173
17,P84126_THETH_Chan_2017,DMS_score,fold_random_5,2,SVR,0.17124591393576372,0.06719533490469994
18,P84126_THETH_Chan_2017,DMS_score,fold_random_5,0,SVR,0.10447267957955231,0.11737832219670619
19,P84126_THETH_Chan_2017,DMS_score,fold_random_5,1,SVR,0.1348813852184762,0.18177993883522917
20,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,4,OLS,0.03846627373422276,0.01086878803339779
21,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,0,OLS,0.06404500331037315,-0.0010140185718312987
22,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,1,OLS,0.1495906456028035,-0.2397555933332764
23,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,2,OLS,0.028936287451524788,0.03391366746683297
24,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,3,OLS,0.05949564520902208,-0.16177361918932068
25,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.2184688515347883,0.03778958819240394
26,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.18260177115056275,0.11920868963514124
27,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.21323865511389012,-0.015828342972347278
28,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.17019971133055328,0.08980471386224041
29,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.12143308253284645,0.047458993951342524
30,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.2330163395015068,0.06380751389549923
31,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,0,PolynomialOLS3,0.20613990130658472,0.2670221853936904
32,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.2671163915542275,-0.31328817092235545
33,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.1950495365063771,0.021698459751065702
34,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.23666694523302256,0.08936095873063063
35,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,4,SVR,0.11531913129288879,0.1505005010996377
36,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,0,SVR,0.10857323436087206,0.0329910557923782
37,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,1,SVR,0.17279316748587956,-0.10196054980821635
38,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,2,SVR,0.1285627409545931,0.07136828436942055
39,P84126_THETH_Chan_2017,DMS_score,fold_modulo_5,3,SVR,0.09972549316163529,-0.0993576313472918
40,P84126_THETH_Chan_2017,DMS_score,fold_contiguous_5,0,OLS,0.09763687099059205,-0.06165040748518764
41,P84126_THETH_Chan_2017,DMS_score,fold_contiguous_5,1,OLS,-0.05218950984358775,-0.2112673950742788
42,P84126_THETH_Chan_2017,DMS_score,fold_contiguous_5,2,OLS,0.13540852466467757,0.06852641459269596
43,P84126_THETH_Chan_2017,DMS_score,fold_contiguous_5,3,OLS,0.0852808831060183,-0.10637541752449621
44,P84126_THETH_Chan_2017,DMS_score,fold_contiguous_5,4,OLS,0.07342426565035559,0.005899161961062369
45,P84126_THETH_Chan_2017,DMS_score,fold_contiguous_5,0,PolynomialOLS2,0.1896350159752725,-0.15579264817327085
46,P84126_THETH_Chan_2017,DMS_score,fold_contiguous_5,1,PolynomialOLS2,0.2106396670042456,-0.038333660803526425
