,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,2,OLS,0.06379811963276315,0.09045552440562052
1,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,3,OLS,0.0664903852626067,0.11284086961556278
2,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,1,OLS,0.039310394517160084,0.07958869284765699
3,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,4,OLS,0.029538246125637695,-0.032730916634436204
4,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,0,OLS,0.0987782441084144,-0.03862380002465
5,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,2,PolynomialOLS2,0.07431768462163542,0.05443692227168925
6,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,3,PolynomialOLS2,0.08924516664453101,0.08566248842056508
7,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,1,PolynomialOLS2,0.07566389944493014,0.08571125023714665
8,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,4,PolynomialOLS2,0.04581350978040568,-0.05612232340634998
9,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,0,PolynomialOLS2,0.11763794046250364,-0.008806438212966809
10,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,2,PolynomialOLS3,0.21765925077405915,0.17304088098880252
11,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,3,PolynomialOLS3,0.21280346840360106,0.18088959008800373
12,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,1,PolynomialOLS3,0.22617321908262958,0.2618174919370138
13,PSAE_SYNP2_Tsuboyama_2023_1PSE,DMS_score,fold_random_5,4,PolynomialOLS3,0.24044510326925983,0.12695140817833409
