,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,1,OLS,0.10991229795123234,0.06882934079969125
1,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,0,OLS,0.0932689725056304,0.1526242288427955
2,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,2,OLS,0.11474132634781332,0.03678717021247317
3,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,4,OLS,0.11021975684995183,0.05518167395426228
4,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,3,OLS,0.09128337164231544,0.14953618694113507
5,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,1,PolynomialOLS2,0.13983160723234186,0.11059776716158991
6,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,0,PolynomialOLS2,0.15326392421274976,0.16521757688250419
7,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,2,PolynomialOLS2,0.1727719995562003,0.08264920129852107
8,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,4,PolynomialOLS2,0.1541499003555384,0.08292745755965972
9,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,3,PolynomialOLS2,0.13293911798635014,0.2088570992121512
10,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,1,PolynomialOLS3,0.16567320598378057,0.1725314736217663
11,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,0,PolynomialOLS3,0.16140891650418443,0.1447420692789253
12,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,2,PolynomialOLS3,0.17303490492166543,0.07915642309173306
13,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,4,PolynomialOLS3,0.17925900836503283,0.0911761129015318
14,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,3,PolynomialOLS3,0.16486434139404021,0.1938995071233444
15,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,1,SVR,0.10458922526093156,0.07485377267920548
16,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,0,SVR,0.10303793020344841,0.14015964478083326
17,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,2,SVR,0.13678128643376994,0.026929735586908154
18,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,4,SVR,0.12041487258244488,0.05957689565010698
19,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_random_5,3,SVR,0.08698648369969803,0.17542599920815516
20,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,1,OLS,0.11420783329432393,0.026979379082134665
21,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,0,OLS,0.09869627768995161,0.07598621385082313
22,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,4,OLS,0.11799385490118273,0.028325305000802686
23,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,3,OLS,0.08088137525944823,0.07876981711059901
24,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,2,OLS,0.13886272532370744,0.02318628375890086
25,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.14518033752167872,0.03915530387844835
26,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.14197017435247525,0.15768788106116277
27,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.15295743564034803,0.06410092691398679
28,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.14214305863457896,0.12934312845651647
29,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.18602112467739412,-0.020797934158292414
30,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.17313085714225604,0.08939415732796885
31,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,0,PolynomialOLS3,0.1714074763759529,0.13555822652827615
32,RASK_HUMAN_Weng_2022_abundance,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.17952501720429617,0.1019339789480552
