,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,2,OLS,-0.026926696708754513,-0.06488554990690987
1,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,4,OLS,-0.03087336867762377,-0.019093744932320387
2,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,3,OLS,-0.01752997620054702,0.05133764118411986
3,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,1,OLS,-0.024455277049545858,-0.06011215542996747
4,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,0,OLS,-0.013530522704401225,-0.053914266811613126
5,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,2,PolynomialOLS2,0.21411426246041604,0.16720256005834572
6,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,4,PolynomialOLS2,0.22370113005126308,0.1627230318046906
7,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,3,PolynomialOLS2,0.21420937156366912,0.2461103505771956
8,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,1,PolynomialOLS2,0.2062288772868945,0.23119136054571945
9,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,0,PolynomialOLS2,0.21240816010500366,0.20894254873402096
10,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,2,PolynomialOLS3,0.19976082757927552,0.17948724322458998
11,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,4,PolynomialOLS3,0.21320105740453765,0.20366012016738683
12,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,3,PolynomialOLS3,0.21037841255413992,0.243729412039714
13,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,1,PolynomialOLS3,0.20690442480289709,0.17908484738104696
14,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,0,PolynomialOLS3,0.195268271347401,0.2062127447741319
15,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,2,SVR,0.11513119188108795,0.06106232826318246
16,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,4,SVR,0.11699537274744423,0.10455083019220976
17,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,3,SVR,0.1032547064422124,0.11653997319983167
18,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,1,SVR,0.10755820178313799,0.11197293478740783
19,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_random_5,0,SVR,0.11000306993362047,0.1252392112433408
20,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_modulo_5,1,OLS,0.007786133099770152,-0.08099083469804177
21,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_modulo_5,0,OLS,-0.019315139707912776,-0.1399285414852106
22,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_modulo_5,4,OLS,-0.03849260927897509,0.0070145911697651235
23,RASK_HUMAN_Weng_2022_binding-DARPin_K55,DMS_score,fold_modulo_5,3,OLS,0.049335990724180975,-0.13798863786744836
