,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,1,OLS,0.1523521269359037,0.11407613808213957
1,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,0,OLS,0.15032556288487342,0.14290711965676933
2,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,2,OLS,0.13924318796932195,0.11940962864348259
3,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,4,OLS,0.13289825155412957,0.20183825278912035
4,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,3,OLS,0.15473940857284574,0.10610995459702591
5,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,1,PolynomialOLS2,0.2150666528362787,0.1672406196787292
6,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,0,PolynomialOLS2,0.22204824292343653,0.15170435542679164
7,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,2,PolynomialOLS2,0.19701285405436328,0.13852675044106028
8,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,4,PolynomialOLS2,0.18087653177524438,0.2625261092442165
9,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,3,PolynomialOLS2,0.21917406450066312,0.1409434871015652
10,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,1,PolynomialOLS3,0.2576230035322792,0.09320306267042949
11,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,0,PolynomialOLS3,0.24380780749704442,0.1599711922588429
12,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,2,PolynomialOLS3,0.24153382143550445,0.20763386044095206
13,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,4,PolynomialOLS3,0.18645057881152122,0.3274704179605276
14,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,3,PolynomialOLS3,0.24123507782781428,0.15658484189567992
15,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,1,SVR,0.2079633027293521,0.1558139534883721
16,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,0,SVR,0.20844642218679935,0.13901581758380202
17,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,2,SVR,0.19702941234051094,0.1966222359320713
18,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,4,SVR,0.17195399936473532,0.20890534051111853
19,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_random_5,3,SVR,0.2095945460431189,0.1095406702228635
20,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,3,OLS,0.11298864766201677,0.12569718758276374
21,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,1,OLS,0.13567314440556452,0.20962308953969438
22,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,4,OLS,0.1763903607453451,0.007901975493873467
23,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,2,OLS,0.20522288114407994,-0.06519556189177461
24,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,0,OLS,0.10324499427014246,0.2770822151427533
25,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.20332034241701216,0.1774747412136614
26,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.24173909832305812,0.11715803474528559
27,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.24726093638170601,0.03397992355231664
28,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.2627445177363936,-0.10832004417822307
29,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.2014981465120876,0.13582444552175493
30,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.25820528809832705,0.15172514834078088
31,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.2793679504585846,0.06100743376118942
32,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.2808338986592587,0.0678943545410162
33,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.2652098247127805,-0.06093551895324659
34,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,0,PolynomialOLS3,0.19775876848668594,0.06956840729262254
35,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,3,SVR,0.20811884893540056,0.15060942280926162
36,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,1,SVR,0.21054396539112033,0.18107124497139923
37,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,4,SVR,0.2353253339895234,-0.03847747651198513
38,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,2,SVR,0.24455049929723005,0.055768244648180185
39,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_modulo_5,0,SVR,0.1997408316127354,0.05651046626382949
40,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_contiguous_5,0,OLS,0.2411229965105431,-0.27124866816868803
41,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_contiguous_5,1,OLS,0.11006420172535193,0.32903694213111256
42,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_contiguous_5,2,OLS,0.1943327384917514,-0.15953630656147819
43,RPC1_BP434_Tsuboyama_2023_1R69,DMS_score,fold_contiguous_5,3,OLS,0.10404771572687978,-0.20838816074242084
