,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,1,OLS,0.10451161516050311,0.14090139820690104
1,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,3,OLS,0.1477192984292473,0.07702317161952109
2,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,0,OLS,0.1268218546243805,0.1490592032750748
3,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,4,OLS,0.12800295420824884,0.0912640016620211
4,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,2,OLS,0.11760949515703682,0.10546115082620414
5,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,1,PolynomialOLS2,0.2466214639871413,0.32609504450111654
6,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,3,PolynomialOLS2,0.25548307718271046,0.16903279967993917
7,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,0,PolynomialOLS2,0.23924563522403913,0.3084553613604156
8,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,4,PolynomialOLS2,0.2453084552913231,0.20586987759907202
9,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,2,PolynomialOLS2,0.269460167969081,0.1844954881050041
10,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,1,PolynomialOLS3,0.2511125364843962,0.23937731072455928
11,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,3,PolynomialOLS3,0.2933371664373232,0.19201421909740216
12,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,0,PolynomialOLS3,0.26495477832353265,0.3166469847268147
13,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,4,PolynomialOLS3,0.26171384023037886,0.28547809075327646
14,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,2,PolynomialOLS3,0.3225939333012935,0.24631430915270128
15,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,1,SVR,0.22355506972906705,0.264777214682338
16,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,3,SVR,0.2183680856330783,0.17766919610942414
17,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,0,SVR,0.205419520384608,0.24027712171311602
18,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,4,SVR,0.20406188401102066,0.25315524315714755
19,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_random_5,2,SVR,0.24079558732104353,0.1257412398921833
20,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,1,OLS,0.19834830017394284,-0.032274941800465605
21,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,4,OLS,0.2880683511067139,-0.3751289989680083
22,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,3,OLS,0.10765592478868186,0.31788465692274465
23,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,2,OLS,0.0246816161210581,0.4116702302222665
24,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,0,OLS,0.1613385171921509,-0.33364088054182983
25,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,1,PolynomialOLS2,0.2759770473124333,-0.1912016703866369
26,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,4,PolynomialOLS2,0.3533549517065953,-0.3218062255501956
27,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,3,PolynomialOLS2,0.24502897373694582,-0.10974152206782348
28,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,2,PolynomialOLS2,0.19350398954076825,-0.17407886231415645
29,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,0,PolynomialOLS2,0.288277146858571,0.0455750791079764
30,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,1,PolynomialOLS3,0.31156719398543986,-0.2058871529027768
31,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,4,PolynomialOLS3,0.36150779383065196,-0.26042911656706746
32,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,3,PolynomialOLS3,0.28563284593857924,-0.09444164446684428
33,SDA_BACSU_Tsuboyama_2023_1PV0,DMS_score,fold_modulo_5,2,PolynomialOLS3,0.20874911962419893,0.005086768435184725
