,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,0,OLS,0.04968698327844245,-0.00873637995698466
1,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,3,OLS,0.05593178755446329,0.027616635643418763
2,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,4,OLS,0.0025967401037336863,-0.15940377833219074
3,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,1,OLS,0.08139793345112935,-0.06548147521808369
4,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,2,OLS,0.00885570304501281,0.041562733409433616
5,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,0,PolynomialOLS2,0.10779200164885235,-0.0030608435983575963
6,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,3,PolynomialOLS2,0.11520307256509615,0.0725885764078209
7,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,4,PolynomialOLS2,0.05120971343943206,0.05136157070060993
8,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,1,PolynomialOLS2,0.09320830186914904,-0.08770205329838357
9,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,2,PolynomialOLS2,0.13715897170634012,0.13541387749733416
10,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,0,PolynomialOLS3,0.23145928899721066,0.09720222542171031
11,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,3,PolynomialOLS3,0.22633963591237397,0.2433200529081656
12,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,4,PolynomialOLS3,0.1953722680150194,0.23679103264518592
13,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,1,PolynomialOLS3,0.2109870768579461,0.09776302747596032
14,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,2,PolynomialOLS3,0.17732508601318603,0.1594113032408386
15,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,0,SVR,0.1062089090262316,0.09840025595904656
16,SPG2_STRSG_Tsuboyama_2023_5UBS,DMS_score,fold_random_5,3,SVR,0.09677167909950764,0.0520630035211447
