,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,2,OLS,0.1524741111113422,0.06251361355649097
1,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,4,OLS,0.16312799027673908,0.09081574569896271
2,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,1,OLS,0.13655926029035273,0.17217471543301227
3,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,3,OLS,0.1489882403424912,0.13996234502101698
4,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,0,OLS,0.14337001107334837,0.1698297245066487
5,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,2,PolynomialOLS2,0.15775563384609542,0.09585546682451439
6,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,4,PolynomialOLS2,0.1753941660740287,0.14387660571844746
7,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,1,PolynomialOLS2,0.1559023600498593,0.19040181379848303
8,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,3,PolynomialOLS2,0.16039263923345984,0.16823600315006712
9,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,0,PolynomialOLS2,0.14473604814255403,0.14308751017916732
10,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,2,PolynomialOLS3,0.19491633992396296,0.0896239405657103
11,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,4,PolynomialOLS3,0.1664757521758592,0.16176243951907732
12,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,1,PolynomialOLS3,0.16403661118192397,0.08774511114294209
13,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,3,PolynomialOLS3,0.1867262705408821,0.07160956499853297
14,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,0,PolynomialOLS3,0.16744415918747452,0.17114815742336922
15,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,2,SVR,0.15694659212713255,0.12920676537674974
16,SR43C_ARATH_Tsuboyama_2023_2N88,DMS_score,fold_random_5,4,SVR,0.1553136608652894,0.09663244052442993
