,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,3,OLS,0.15339693086476983,0.0930700116507606
1,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,0,OLS,0.14706735659403483,0.08083557524924831
2,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,4,OLS,0.12086866980766295,0.18865650543462337
3,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,2,OLS,0.13507954858807725,0.13074117223114357
4,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,1,OLS,0.12764508138204417,0.15932711717191894
5,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,3,PolynomialOLS2,0.21166669536538263,0.13298469619856698
6,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,0,PolynomialOLS2,0.1942613250330043,0.15979089160750068
7,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,4,PolynomialOLS2,0.1920241777977793,0.2283314534321624
8,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,2,PolynomialOLS2,0.19964960444117907,0.18523827016663694
9,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,1,PolynomialOLS2,0.1912919759287616,0.2082008540412615
10,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,3,PolynomialOLS3,0.23529295659008698,0.19780833653387053
11,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,0,PolynomialOLS3,0.22925132115850033,0.17826678218233416
12,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,4,PolynomialOLS3,0.22928608973224626,0.29547322239474993
13,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,2,PolynomialOLS3,0.23206501744155808,0.18859577862443191
14,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,1,PolynomialOLS3,0.23636592822422883,0.21957152671224378
15,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,3,SVR,0.21838461476081558,0.17573517748689793
16,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,0,SVR,0.2163196956975646,0.17751575152687216
17,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,4,SVR,0.20814258484423837,0.25516142735768904
18,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,2,SVR,0.21287367876013463,0.19631334599815975
19,SUMO1_HUMAN_Weile_2017,DMS_score,fold_random_5,1,SVR,0.21463610773728484,0.227013972744523
