,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,1,OLS,0.0825717043754065,0.04762234267481644
1,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,2,OLS,0.07557989803146997,0.14699389689650694
2,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,3,OLS,0.06376479495410538,0.17140541144901614
3,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,4,OLS,0.16084574607747823,0.008780674323014106
4,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,0,OLS,0.09870312820778547,0.05523245313007984
5,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,1,PolynomialOLS2,0.10736387303326608,0.1669396071195172
6,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,2,PolynomialOLS2,0.1434343363844793,0.061957093747223524
7,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,3,PolynomialOLS2,0.11453891815908034,0.21815183363148483
8,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,4,PolynomialOLS2,0.17980594453269858,0.13044285733793987
9,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,0,PolynomialOLS2,0.12210655701683908,0.059422750424448216
10,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,1,PolynomialOLS3,0.1696992059454393,0.16527889901203247
11,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,2,PolynomialOLS3,0.21145790802824788,0.16373813380353883
12,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,3,PolynomialOLS3,0.1640254305898797,0.2397752683363149
13,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,4,PolynomialOLS3,0.2273064488822701,0.13574130467437762
14,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,0,PolynomialOLS3,0.23396672987404657,0.13913954412455298
15,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,1,SVR,0.29928691626926673,0.2728481912889709
16,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,2,SVR,0.32863296331063885,0.26725510699225663
17,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,3,SVR,0.29346613353931345,0.2764814400715564
18,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,4,SVR,0.3290684790134821,0.20505264307856175
19,TCRG1_MOUSE_Tsuboyama_2023_1E0L,DMS_score,fold_random_5,0,SVR,0.312163889674153,0.24453274572842543
