,dataset,target,cv_strategy,test_fold,model,train_spearman,test_spearman
0,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,0,OLS,0.31240276604076594,0.09853537522064786
1,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,2,OLS,0.27827050920796925,0.24445698621301298
2,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,1,OLS,0.27284699736424123,0.3292745422516415
3,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,3,OLS,0.2327785791278064,0.4472287657229211
4,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,4,OLS,0.2888815354805039,0.21946600774091976
5,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,0,PolynomialOLS2,0.42015147034665057,0.31233719765278367
6,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,2,PolynomialOLS2,0.4101027743277087,0.3033447242912695
7,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,1,PolynomialOLS2,0.3877897342270512,0.39650349650349653
8,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,3,PolynomialOLS2,0.3448676679956109,0.5058660384905996
9,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,4,PolynomialOLS2,0.38795413355583913,0.34106404845728283
10,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,0,PolynomialOLS3,0.4335907885725557,0.2827727684747865
11,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,2,PolynomialOLS3,0.437664393301482,0.25797108639969235
12,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,1,PolynomialOLS3,0.39499913158761046,0.42741685795120904
13,YNZC_BACSU_Tsuboyama_2023_2JVD,DMS_score,fold_random_5,3,PolynomialOLS3,0.3490661327256377,0.4995830925818926
