,job_name,model,status,test_fold,ph,test_mse,test_r_square,test_spearman,test_mph,test_ndcg,train_mse,train_r_square,train_spearman,train_mph,train_ndcg,valid_mse,valid_r_square,valid_spearman,valid_mph,valid_ndcg
0,apbsconv-fold-0-ph-74-17-11-12-50,apbsconv,Completed,0,7.4,0.6849198631835904,-0.4284704291137895,0.043055301226881525,0.75,2.07949092623121,0.216830205765192,0.6808377220443189,0.7598572590833625,0.8853211009174312,1.0780947138791321,0.5040959892078577,0.40503528506929876,0.6395066207146743,0.6486486486486487,1.2649863489041488
1,apbsconv-fold-1-ph-74-17-11-32-36,apbsconv,Completed,1,7.4,0.6559997593664488,0.22574922597701175,0.47197170324687104,0.0,1.3298091916639143,0.41214339605597716,0.4366767996215195,0.6507795701950896,0.16666666666666666,1.171040308733916,0.2695137245945605,0.27514900953574073,0.35155936018004985,0.375,1.225590609761137
2,apbsconv-fold-2-ph-74-17-11-32-40,apbsconv,Completed,2,7.4,0.3174647072167559,0.1461859398452472,0.3268748492886424,0.7361111111111112,1.2541654422941282,0.37109182736422464,0.4566348879593025,0.6953841673160631,0.30660377358490565,1.1798807810704972,0.6344596766226697,0.3123474268002667,0.6479500255463547,0.2054794520547945,1.1301829113905555
3,apbsconv-fold-3-ph-74-17-11-32-44,apbsconv,Completed,3,7.4,0.6608470247798303,0.2837477718044138,0.5696142982464597,0.2054794520547945,1.1458862579893214,0.3306684426864343,0.42565170764342686,0.5869652968638683,0.6857142857142857,1.1980342458270299,0.37259369336557396,0.4572885229634185,0.6872435756975874,0.3150684931506849,1.219365938232821
4,apbsconv-fold-4-ph-74-17-11-32-48,apbsconv,Completed,4,7.4,0.579739939391648,0.15556402481660958,0.5575297131070125,0.0,1.2975868805850805,0.6542076622177269,0.1053045354408082,0.43039271864902967,0.0,1.2020687341021075,0.5030369979846825,-0.04913511053873565,0.13471090459622778,0.0,1.7493387196266774
5,apbsconv-fold-0-ph-1-17-11-32-53,apbsconv,Completed,0,1.0,0.6989037819987225,-0.45763532209513036,0.01230314960629921,0.53125,1.7150651551926304,0.20850928614852535,0.6930856634700506,0.7743602699751438,0.7935779816513762,1.0729547095835084,0.5583663130420684,0.34098215145885846,0.5225793578813713,0.527027027027027,1.3097166076047837
6,apbsconv-fold-1-ph-1-17-11-32-57,apbsconv,Completed,1,1.0,0.6100276938973846,0.2800082508693902,0.5608452748050063,0.0,1.2765318627208997,0.455787075347551,0.3770240250530239,0.5818042929028959,0.047619047619047616,1.198814207378574,0.29215971721678674,0.21424313096884917,0.3214974680491922,0.4583333333333333,1.24830529394108
7,apbsconv-fold-2-ph-1-17-11-33-02,apbsconv,Completed,2,1.0,0.3215836946695244,0.13510801741535783,0.308021863194277,0.5138888888888888,1.2065922957746305,0.4320812538039438,0.3673321222096553,0.5803628749773695,0.08018867924528301,1.1942691951273068,0.6370278122007808,0.3095639795558106,0.6420078470689173,0.0136986301369863,1.1094856492871041
8,apbsconv-fold-3-ph-1-17-11-33-07,apbsconv,Completed,3,1.0,0.6955882795957603,0.2460938212846081,0.5794780831557943,0.2602739726027397,1.1426848670226846,0.39724794690173065,0.310007698068964,0.5218890766897656,0.5285714285714286,1.241998358618236,0.32444540559324114,0.5274202209470094,0.646279911446252,0.0273972602739726,1.209618835882035
9,apbsconv-fold-4-ph-1-17-11-33-11,apbsconv,Completed,4,1.0,0.5811613478442436,0.15349363367871272,0.729884623231003,0.0,1.2782979169792825,0.6394475398742147,0.1254905028021689,0.43016294249639025,0.0,1.1995860245521348,0.5199672680747875,-0.08444492046045804,-0.0426318439846182,0.0,1.8595163680292248
10,apbsconv-fold-0-ph-13-17-11-33-16,apbsconv,Completed,0,13.0,0.6823664832647615,-0.42314509413023904,0.05491210401025453,0.71875,1.775061270195599,0.23730661859233534,0.6506975552755379,0.7446795691602086,0.8623853211009175,1.0703584527264176,0.590843712164139,0.3026503517142948,0.4773807364411391,0.6486486486486487,1.3116765124973706
11,apbsconv-fold-1-ph-13-17-11-33-22,apbsconv,Completed,1,13.0,0.746793347129138,0.11858911715398768,0.32716851079267184,0.04054054054054054,1.4941430402590203,0.4075105159149669,0.4430090832222723,0.6602391057175986,0.12857142857142856,1.153755713088394,0.26677881437667483,0.28250448793761984,0.299541837472872,0.3055555555555556,1.2647644375081484
12,apbsconv-fold-2-ph-13-17-11-33-27,apbsconv,Completed,2,13.0,0.2754626801411273,0.25914942982363665,0.32614339683305205,0.4722222222222222,1.2357711190790217,0.35483377546303463,0.48044047337356444,0.6801164978235372,0.18867924528301888,1.167143387014429,0.5141714597411617,0.44272056935282367,0.5873290081266328,0.0410958904109589,1.1911607473830874
13,apbsconv-fold-3-ph-13-17-11-33-32,apbsconv,Completed,3,13.0,0.6564716082235043,0.2884900218868689,0.5557633539953535,0.0958904109589041,1.1280596373636946,0.3333042581648146,0.42107347784116433,0.565992245306899,0.37142857142857144,1.1953074561449164,0.36876974657764283,0.4628583966524805,0.6131062569418735,0.0684931506849315,1.2344324854810194
14,apbsconv-fold-4-ph-13-17-11-33-39,apbsconv,Completed,4,13.0,0.6353674563134316,0.07453825221213961,0.2990313489335016,0.0547945205479452,1.3589276633906444,0.7407178279387967,-0.013006908125173355,0.2662624781216225,0.1461187214611872,1.249925048800232,0.4869772617506191,-0.01564088801305963,0.05253158762131477,0.15625,1.81906155164
